mito_combo3_panel2_gene3_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 3rd gene on 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene3_mdna_change_group_no]>=5
mito_combo3_panel2_gene3_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene_group_no]>=3
mito_combo3_panel2_gene3_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 3rd gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene3_mdna_variant_of_unknown_significance_group_no]>=1
mito_combo3_panel2_gene3_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 3rd gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene3_mdna_variant_of_unknown_significance_group_no]>=2
mito_combo3_panel2_gene3_vus_mdna3,prior_genetic_testing,,text,3rd variant of unknown significance on 3rd gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene3_mdna_variant_of_unknown_significance_group_no]>=3
mito_combo3_panel2_gene3_vus_mdna4,prior_genetic_testing,,text,4th variant of unknown significance on 3rd gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene3_mdna_variant_of_unknown_significance_group_no]>=4
mito_combo3_panel2_gene3_vus_mdna5,prior_genetic_testing,,text,5th variant of unknown significance on 3rd gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene3_mdna_variant_of_unknown_significance_group_no]>=5
mito_combo3_panel2_gene4,prior_genetic_testing,,text,4th gene on panel 2 that contained mutation (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene_group_no]>=4
mito_combo3_panel2_gene4_mdna_change_group_no,prior_genetic_testing,,text,How many mdna changes would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene_group_no]>=4
mito_combo3_panel2_gene4_mdna_change1,prior_genetic_testing,,text,1st change in mDNA on 4th gene on 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene4_mdna_change_group_no]>=1
mito_combo3_panel2_gene4_mdna_change2,prior_genetic_testing,,text,2nd change in mDNA on 4th gene on 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene4_mdna_change_group_no]>=2
mito_combo3_panel2_gene4_mdna_change3,prior_genetic_testing,,text,3rd change in mDNA on 4th gene on 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene4_mdna_change_group_no]>=3
mito_combo3_panel2_gene4_mdna_change4,prior_genetic_testing,,text,4th change in mDNA on 4th gene on 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene4_mdna_change_group_no]>=4
mito_combo3_panel2_gene4_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 4th gene on 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene4_mdna_change_group_no]>=5
mito_combo3_panel2_gene4_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene_group_no]>=4
mito_combo3_panel2_gene4_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 4th gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene4_mdna_variant_of_unknown_significance_group_no]>=1
mito_combo3_panel2_gene4_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 4th gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene4_mdna_variant_of_unknown_significance_group_no]>=2
mito_combo3_panel2_gene4_vus_mdna3,prior_genetic_testing,,text,3rd variant of unknown significance on 4th gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene4_mdna_variant_of_unknown_significance_group_no]>=3
mito_combo3_panel2_gene4_vus_mdna4,prior_genetic_testing,,text,4th variant of unknown significance on 4th gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene4_mdna_variant_of_unknown_significance_group_no]>=4
mito_combo3_panel2_gene4_vus_mdna5,prior_genetic_testing,,text,5th variant of unknown significance on 4th gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene4_mdna_variant_of_unknown_significance_group_no]>=5
mito_combo3_panel2_gene5,prior_genetic_testing,,text,5th gene on panel 2 that contained mutation (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene_group_no]>=5
mito_combo3_panel2_gene5_mdna_change_group_no,prior_genetic_testing,,text,How many mdna changes would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene_group_no]>=5
mito_combo3_panel2_gene5_mdna_change1,prior_genetic_testing,,text,1st change in mDNA on 5th gene on 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene5_mdna_change_group_no]>=1
mito_combo3_panel2_gene5_mdna_change2,prior_genetic_testing,,text,2nd change in mDNA on 5th gene on 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene5_mdna_change_group_no]>=2
mito_combo3_panel2_gene5_mdna_change3,prior_genetic_testing,,text,3rd change in mDNA on 5th gene on 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene5_mdna_change_group_no]>=3
mito_combo3_panel2_gene5_mdna_change4,prior_genetic_testing,,text,4th change in mDNA on 5th gene on 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene5_mdna_change_group_no]>=4
mito_combo3_panel2_gene5_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 5th gene on 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene5_mdna_change_group_no]>=5
mito_combo3_panel2_gene5_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene_group_no]>=5
mito_combo3_panel2_gene5_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 5th gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene5_mdna_variant_of_unknown_significance_group_no]>=1
mito_combo3_panel2_gene5_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 5th gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene5_mdna_variant_of_unknown_significance_group_no]>=2
mito_combo3_panel2_gene5_vus_mdna3,prior_genetic_testing,,text,3rd variant of unknown significance on 5th gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene5_mdna_variant_of_unknown_significance_group_no]>=3
mito_combo3_panel2_gene5_vus_mdna4,prior_genetic_testing,,text,4th variant of unknown significance on 5th gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene5_mdna_variant_of_unknown_significance_group_no]>=4
mito_combo3_panel2_gene5_vus_mdna5,prior_genetic_testing,,text,5th variant of unknown significance on 5th gene from 2nd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel2_gene5_mdna_variant_of_unknown_significance_group_no]>=5
mito_combo3_targeted_mito_combo_panel3_type,prior_genetic_testing,,text,3rd panel performed (on 3rd combination analysis)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel_group_no]>=3
mito_combo3_targeted_mito_combo_panel3_results,prior_genetic_testing,,notes,Describe results of 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel_group_no]>=3
mito_combo3_panel3_gene_group_no,prior_genetic_testing,,text,How many genes would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel_group_no]>=3
mito_combo3_panel3_gene1,prior_genetic_testing,,text,1st gene on panel 3 that contained mutation (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=1
mito_combo3_panel3_gene1_mdna_change_group_no,prior_genetic_testing,,text,How many mdna changes would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=1
mito_combo3_panel3_gene1_mdna_change1,prior_genetic_testing,,text,1st change in mDNA on 1st gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene1_mdna_change_group_no]>=1
mito_combo3_panel3_gene1_mdna_change2,prior_genetic_testing,,text,2nd change in mDNA on 1st gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene1_mdna_change_group_no]>=2
mito_combo3_panel3_gene1_mdna_change3,prior_genetic_testing,,text,3rd change in mDNA on 1st gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene1_mdna_change_group_no]>=3
mito_combo3_panel3_gene1_mdna_change4,prior_genetic_testing,,text,4th change in mDNA on 1st gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene1_mdna_change_group_no]>=4
mito_combo3_panel3_gene1_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 1st gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene1_mdna_change_group_no]>=5
mito_combo3_panel3_gene1_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=1
mito_combo3_panel3_gene1_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 1st gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene1_mdna_variant_of_unknown_significance_group_no]>=1
mito_combo3_panel3_gene1_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 1st gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene1_mdna_variant_of_unknown_significance_group_no]>=2
mito_combo3_panel3_gene1_vus_mdna3,prior_genetic_testing,,text,3rd variant of unknown significance on 1st gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene1_mdna_variant_of_unknown_significance_group_no]>=3
mito_combo3_panel3_gene1_vus_mdna4,prior_genetic_testing,,text,4th variant of unknown significance on 1st gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene1_mdna_variant_of_unknown_significance_group_no]>=4
mito_combo3_panel3_gene1_vus_mdna5,prior_genetic_testing,,text,5th variant of unknown significance on 1st gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene1_mdna_variant_of_unknown_significance_group_no]>=5
mito_combo3_panel3_gene2,prior_genetic_testing,,text,2nd gene on panel 3 that contained mutation (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=2
mito_combo3_panel3_gene2_mdna_change_group_no,prior_genetic_testing,,text,How many mdna changes would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=2
mito_combo3_panel3_gene2_mdna_change1,prior_genetic_testing,,text,1st change in mDNA on 2nd gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene2_mdna_change_group_no]>=1
mito_combo3_panel3_gene2_mdna_change2,prior_genetic_testing,,text,2nd change in mDNA on 2nd gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene2_mdna_change_group_no]>=2
mito_combo3_panel3_gene2_mdna_change3,prior_genetic_testing,,text,3rd change in mDNA on 2nd gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene2_mdna_change_group_no]>=3
mito_combo3_panel3_gene2_mdna_change4,prior_genetic_testing,,text,4th change in mDNA on 2nd gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene2_mdna_change_group_no]>=4
mito_combo3_panel3_gene2_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 2nd gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene2_mdna_change_group_no]>=5
mito_combo3_panel3_gene2_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=2
mito_combo3_panel3_gene2_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 2nd gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene2_mdna_variant_of_unknown_significance_group_no]>=1
mito_combo3_panel3_gene2_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 2nd gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene2_mdna_variant_of_unknown_significance_group_no]>=2
mito_combo3_panel3_gene2_vus_mdna3,prior_genetic_testing,,text,3rd variant of unknown significance on 2nd gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene2_mdna_variant_of_unknown_significance_group_no]>=3
mito_combo3_panel3_gene2_vus_mdna4,prior_genetic_testing,,text,4th variant of unknown significance on 2nd gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene2_mdna_variant_of_unknown_significance_group_no]>=4
mito_combo3_panel3_gene2_vus_mdna5,prior_genetic_testing,,text,5th variant of unknown significance on 2nd gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene2_mdna_variant_of_unknown_significance_group_no]>=5
mito_combo3_panel3_gene3,prior_genetic_testing,,text,3rd gene on panel 3 that contained mutation (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=3
mito_combo3_panel3_gene3_mdna_change_group_no,prior_genetic_testing,,text,How many mdna changes would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=3
mito_combo3_panel3_gene3_mdna_change1,prior_genetic_testing,,text,1st change in mDNA on 3rd gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene3_mdna_change_group_no]>=1
mito_combo3_panel3_gene3_mdna_change2,prior_genetic_testing,,text,2nd change in mDNA on 3rd gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene3_mdna_change_group_no]>=2
mito_combo3_panel3_gene3_mdna_change3,prior_genetic_testing,,text,3rd change in mDNA on 3rd gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene3_mdna_change_group_no]>=3
mito_combo3_panel3_gene3_mdna_change4,prior_genetic_testing,,text,4th change in mDNA on 3rd gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene3_mdna_change_group_no]>=4
mito_combo3_panel3_gene3_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 3rd gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene3_mdna_change_group_no]>=5
mito_combo3_panel3_gene3_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=3
mito_combo3_panel3_gene3_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 3rd gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene3_mdna_variant_of_unknown_significance_group_no]>=1
mito_combo3_panel3_gene3_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 3rd gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene3_mdna_variant_of_unknown_significance_group_no]>=2
mito_combo3_panel3_gene3_vus_mdna3,prior_genetic_testing,,text,3rd variant of unknown significance on 3rd gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene3_mdna_variant_of_unknown_significance_group_no]>=3
mito_combo3_panel3_gene3_vus_mdna4,prior_genetic_testing,,text,4th variant of unknown significance on 3rd gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene3_mdna_variant_of_unknown_significance_group_no]>=4
mito_combo3_panel3_gene3_vus_mdna5,prior_genetic_testing,,text,5th variant of unknown significance on 3rd gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene3_mdna_variant_of_unknown_significance_group_no]>=5
mito_combo3_panel3_gene4,prior_genetic_testing,,text,4th gene on panel 3 that contained mutation (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=4
mito_combo3_panel3_gene4_mdna_change_group_no,prior_genetic_testing,,text,How many mdna changes would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=4
mito_combo3_panel3_gene4_mdna_change1,prior_genetic_testing,,text,1st change in mDNA on 4th gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene4_mdna_change_group_no]>=1
mito_combo3_panel3_gene4_mdna_change2,prior_genetic_testing,,text,2nd change in mDNA on 4th gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene4_mdna_change_group_no]>=2
mito_combo3_panel3_gene4_mdna_change3,prior_genetic_testing,,text,3rd change in mDNA on 4th gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene4_mdna_change_group_no]>=3
mito_combo3_panel3_gene4_mdna_change4,prior_genetic_testing,,text,4th change in mDNA on 4th gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene4_mdna_change_group_no]>=4
mito_combo3_panel3_gene4_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 4th gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene4_mdna_change_group_no]>=5
mito_combo3_panel3_gene4_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=4
mito_combo3_panel3_gene4_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 4th gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene4_mdna_variant_of_unknown_significance_group_no]>=1
mito_combo3_panel3_gene4_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 4th gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene4_mdna_variant_of_unknown_significance_group_no]>=2
mito_combo3_panel3_gene4_vus_mdna3,prior_genetic_testing,,text,3rd variant of unknown significance on 4th gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene4_mdna_variant_of_unknown_significance_group_no]>=3
mito_combo3_panel3_gene4_vus_mdna4,prior_genetic_testing,,text,4th variant of unknown significance on 4th gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene4_mdna_variant_of_unknown_significance_group_no]>=4
mito_combo3_panel3_gene4_vus_mdna5,prior_genetic_testing,,text,5th variant of unknown significance on 4th gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene4_mdna_variant_of_unknown_significance_group_no]>=5
mito_combo3_panel3_gene5,prior_genetic_testing,,text,5th gene on panel 3 that contained mutation (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=5
mito_combo3_panel3_gene5_mdna_change_group_no,prior_genetic_testing,,text,How many mdna changes would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=5
mito_combo3_panel3_gene5_mdna_change1,prior_genetic_testing,,text,1st change in mDNA on 5th gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene5_mdna_change_group_no]>=1
mito_combo3_panel3_gene5_mdna_change2,prior_genetic_testing,,text,2nd change in mDNA on 5th gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene5_mdna_change_group_no]>=2
mito_combo3_panel3_gene5_mdna_change3,prior_genetic_testing,,text,3rd change in mDNA on 5th gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene5_mdna_change_group_no]>=3
mito_combo3_panel3_gene5_mdna_change4,prior_genetic_testing,,text,4th change in mDNA on 5th gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene5_mdna_change_group_no]>=4
mito_combo3_panel3_gene5_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 5th gene on 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene5_mdna_change_group_no]>=5
mito_combo3_panel3_gene5_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene_group_no]>=5
mito_combo3_panel3_gene5_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 5th gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene5_mdna_variant_of_unknown_significance_group_no]>=1
mito_combo3_panel3_gene5_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 5th gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene5_mdna_variant_of_unknown_significance_group_no]>=2
mito_combo3_panel3_gene5_vus_mdna3,prior_genetic_testing,,text,3rd variant of unknown significance on 5th gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene5_mdna_variant_of_unknown_significance_group_no]>=3
mito_combo3_panel3_gene5_vus_mdna4,prior_genetic_testing,,text,4th variant of unknown significance on 5th gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene5_mdna_variant_of_unknown_significance_group_no]>=4
mito_combo3_panel3_gene5_vus_mdna5,prior_genetic_testing,,text,5th variant of unknown significance on 5th gene from 3rd panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel3_gene5_mdna_variant_of_unknown_significance_group_no]>=5
mito_combo3_targeted_mito_combo_panel4_type,prior_genetic_testing,,text,4th panel performed (on 3rd combination analysis)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel_group_no]>=4
mito_combo3_targeted_mito_combo_panel4_results,prior_genetic_testing,,notes,Describe results of 4th panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel_group_no]>=4
mito_combo3_panel4_gene_group_no,prior_genetic_testing,,text,How many genes would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel_group_no]>=4
mito_combo3_panel4_gene1,prior_genetic_testing,,text,1st gene on panel 4 that contained mutation (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel4_gene_group_no]>=1
mito_combo3_panel4_gene1_mdna_change_group_no,prior_genetic_testing,,text,How many mdna changes would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel4_gene_group_no]>=1
mito_combo3_panel4_gene1_mdna_change1,prior_genetic_testing,,text,1st change in mDNA on 1st gene on 4th panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel4_gene1_mdna_change_group_no]>=1
mito_combo3_panel4_gene1_mdna_change2,prior_genetic_testing,,text,2nd change in mDNA on 1st gene on 4th panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel4_gene1_mdna_change_group_no]>=2
mito_combo3_panel4_gene1_mdna_change3,prior_genetic_testing,,text,3rd change in mDNA on 1st gene on 4th panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel4_gene1_mdna_change_group_no]>=3
mito_combo3_panel4_gene1_mdna_change4,prior_genetic_testing,,text,4th change in mDNA on 1st gene on 4th panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel4_gene1_mdna_change_group_no]>=4
mito_combo3_panel4_gene1_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 1st gene on 4th panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel4_gene1_mdna_change_group_no]>=5
mito_combo3_panel4_gene1_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel4_gene_group_no]>=1
mito_combo3_panel4_gene1_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 1st gene from 4th panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel4_gene1_mdna_variant_of_unknown_significance_group_no]>=1
mito_combo3_panel4_gene1_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 1st gene from 4th panel (on 3rd combined analysis),,,,,,,([mito_analysis_type(4)]='1') and [mito_combo3_panel4_gene1_mdna_variant_of_unknown_significance_group_no]>=2
